"Name","State","Notes","User","Tags","Created","Runtime","Sweep","act_bits","batch_size","checkpoint","data_dir","device","exclude_first_last","num_workers","seed","wandb","wandb_project","wandb_run_name","weight_bits","activation_mem_fp32_mb","activation_mem_q_mb","baseline_model_mb","compression_ratio_activations","compression_ratio_weights","quant_model_main_mb","quant_model_mb","quant_model_overhead_mb","quant_test_acc","quant_test_loss"
"weight_4_act_2","finished","-","","","2025-12-13T23:28:41.000Z","45","","2","128","./checkpoints/mobilenetv2_cifar10_best.pth","./data","cuda","false","4","42","true","mobilenetv2_compression","weight_4_act_2","4","1560.536376953125","97.53352355957033","8.402099609375","16","7.996921133081118","1.050262451171875","1.0506668090820312","0.00040435791015625","10.34","4.9430866661071775"
"weight_4_act_6","finished","-","","","2025-12-13T23:25:20.000Z","45","","6","128","./checkpoints/mobilenetv2_cifar10_best.pth","./data","cuda","false","4","42","true","mobilenetv2_compression","weight_4_act_6","4","1560.536376953125","292.60057067871094","8.402099609375","5.333333333333333","7.996921133081118","1.050262451171875","1.0506668090820312","0.00040435791015625","85.78","0.5247512196540832"
"weight_6_act_4","finished","-","","","2025-12-13T23:23:40.000Z","45","","4","128","./checkpoints/mobilenetv2_cifar10_best.pth","./data","cuda","false","4","42","true","mobilenetv2_compression","weight_6_act_4","6","1560.536376953125","195.06704711914065","8.402099609375","8","5.3319647724686865","1.5753936767578125","1.5757980346679688","0.00040435791015625","61.08","1.2547339344978332"
"weight_6_act_6","finished","-","","","2025-12-13T23:21:18.000Z","47","","6","128","./checkpoints/mobilenetv2_cifar10_best.pth","./data","cuda","false","4","42","true","mobilenetv2_compression","weight_6_act_6","6","1560.536376953125","292.60057067871094","8.402099609375","5.333333333333333","5.3319647724686865","1.5753936767578125","1.5757980346679688","0.00040435791015625","94.94","0.2608697568178177"
"weight_8_act_6","finished","-","","","2025-12-13T23:19:24.000Z","46","","6","128","./checkpoints/mobilenetv2_cifar10_best.pth","./data","cuda","false","4","42","true","mobilenetv2_compression","weight_8_act_6","8","1560.536376953125","292.60057067871094","8.402099609375","5.333333333333333","3.9992301351258113","2.10052490234375","2.1009292602539062","0.00040435791015625","95.67","0.24509256038665772"
"weight_6_act_8","finished","-","","","2025-12-13T23:17:20.000Z","45","","8","128","./checkpoints/mobilenetv2_cifar10_best.pth","./data","cuda","false","4","42","true","mobilenetv2_compression","weight_6_act_8","6","1560.536376953125","390.1340942382813","8.402099609375","4","5.3319647724686865","1.5753936767578125","1.5757980346679688","0.00040435791015625","95.45","0.22877732911109924"
"weight_4_act_4","finished","-","","","2025-12-13T23:14:35.000Z","45","","4","128","./checkpoints/mobilenetv2_cifar10_best.pth","./data","cuda","false","4","42","true","mobilenetv2_compression","weight_4_act_4","4","1560.536376953125","195.06704711914065","8.402099609375","8","7.996921133081118","1.050262451171875","1.0506668090820312","0.00040435791015625","42.95","2.0094040336608887"
"weight_4_act_8","finished","-","","","2025-12-13T23:13:00.000Z","47","","8","128","./checkpoints/mobilenetv2_cifar10_best.pth","./data","cuda","false","4","42","true","mobilenetv2_compression","weight_4_act_8","4","1560.536376953125","390.1340942382813","8.402099609375","4","7.996921133081118","1.050262451171875","1.0506668090820312","0.00040435791015625","86.86","0.4715626259803772"
"weight_8_act_8","finished","-","","","2025-12-13T23:11:32.000Z","45","","8","128","./checkpoints/mobilenetv2_cifar10_best.pth","./data","cuda","false","4","42","true","mobilenetv2_compression","weight_8_act_8","8","1560.536376953125","390.1340942382813","8.402099609375","4","3.9992301351258113","2.10052490234375","2.1009292602539062","0.00040435791015625","96.39","0.2024448995113373"
"weight_8_act_4","finished","-","","","2025-12-13T23:10:25.000Z","45","","4","128","./checkpoints/mobilenetv2_cifar10_best.pth","./data","cuda","false","4","42","true","mobilenetv2_compression","weight_8_act_4","8","1560.536376953125","195.06704711914065","8.402099609375","8","3.9992301351258113","2.10052490234375","2.1009292602539062","0.00040435791015625","62.64","1.223787374305725"
